NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal, RealDistance, AmclDistance, RRTDistance
1,3963,1,3434,0.255,530,15,1,2.83433,0,3.65449
2,4156,2,3605,0.525,552,15,1,2.53698,3.39183,3.86336
3,3742,3,3198,0.734,545,11,1,1.51778,3.57958,2.56137
4,4036,4,3490,1.022,547,19,1,3.44064,2.32101,5.17101
5,7629,5,6667,1.575,963,23,1,3.68064,5.44373,6.13534
6,5193,6,4556,1.902,638,8,0,1.21346,4.17445,1.45469
7,4986,7,4375,2.158,612,14,1,2.49176,1.41314,3.55084
8,3588,8,3055,2.352,534,7,1,1.55062,3.26152,1.55813
9,6870,9,6066,2.86,805,18,1,3.49772,1.51914,4.91216
10,4061,10,3523,3.063,539,21,1,3.63289,4.64093,5.77407
11,4882,11,4252,3.323,631,18,0,2.88541,1.80735,4.62451
12,4330,12,3770,3.536,561,15,1,2.62534,4.1409,3.67955
13,4383,13,3774,3.787,610,10,1,1.48926,3.17736,2.49042
14,3915,14,3386,3.92,530,19,1,3.3164,2.0555,4.83622
15,4790,15,4150,4.165,641,24,1,3.7845,4.25487,5.81222
16,4509,16,3931,4.414,579,12,1,2.47439,5.0129,2.983
17,4138,17,3565,4.648,574,10,1,1.67124,2.84934,2.25926
18,5849,18,5125,4.987,725,15,1,3.6193,2.30988,4.16514
19,7688,19,6739,5.428,950,18,1,3.73582,4.05775,4.64934
20,4964,20,4317,5.736,648,21,1,2.53856,4.08887,5.50597
21,3859,21,3350,5.93,510,10,1,1.41873,5.00269,2.28882
22,4208,22,3696,6.099,513,5,0,0.277089,1.76362,0.64443
23,5671,23,4949,6.524,723,21,1,3.57788,0.354273,5.46144
24,5763,24,5034,6.776,730,16,1,3.78414,4.78915,4.25945
25,6331,25,5511,7.111,821,22,1,2.50322,3.81493,5.96557
26,3713,26,3195,7.27,519,11,1,1.63676,5.3781,2.94987
27,5286,27,4569,7.595,718,10,0,1.26005,0.757249,1.84014
28,5687,28,4982,7.825,706,18,1,3.34346,1.20199,4.66714
29,3989,29,3468,8.082,522,34,1,3.86577,4.22576,9.54247
30,4245,30,3729,8.322,517,10,0,1.58977,5.94712,1.8602
31,4292,31,3713,8.57,580,11,1,2.59515,1.66544,2.78424
32,4858,32,4150,8.842,709,9,1,1.50743,2.5131,2.12758
33,6458,33,5708,9.395,751,21,1,3.59362,2.02154,5.59032
34,4917,34,4348,9.658,570,10,0,2.07022,2.46766,2.3473
35,4365,35,3755,9.962,611,22,1,3.52045,1.97294,6.09527
36,3686,36,3156,10.149,531,23,1,2.54491,5.51772,5.88226
37,4456,37,3885,10.354,572,10,0,1.14096,3.7541,1.83914
38,5473,38,4677,10.658,797,11,1,1.55888,1.37824,2.58077
39,3890,39,3389,10.935,502,2,0,0.126772,2.94167,0.0084842
40,4791,40,4217,11.221,575,27,1,3.4942,0.0149215,6.98167
41,3542,41,3035,11.385,508,14,0,1.22135,3.74728,3.07737
42,5147,42,4515,11.587,633,18,1,3.85532,1.95365,4.66621
43,3282,43,2778,11.759,505,11,0,2.53533,5.27932,2.5052
44,3942,44,3422,12,521,14,1,2.50623,2.48058,3.60797
45,3801,45,3285,12.168,517,11,1,1.71329,3.34205,2.49586
46,4199,46,3630,12.394,570,15,1,3.40527,1.90945,3.97058
47,4153,47,3605,12.599,549,33,1,3.8171,4.20218,8.80195
48,4861,48,4320,12.84,542,11,0,1.37816,6.19593,2.48867
49,4506,49,3898,13.096,609,14,1,2.60173,1.72762,3.83313
50,4564,50,3972,13.343,593,8,1,1.48556,3.62751,1.68229
51,4804,51,4203,13.611,602,33,1,3.55853,1.96536,9.25213
52,4763,52,4172,13.826,592,20,1,3.69561,8.56524,5.43139
53,4432,53,3861,14.046,572,17,1,2.61592,5.27213,4.04443
54,5057,54,4306,14.294,752,10,1,1.64924,3.59113,2.35366
55,4381,55,3805,14.598,577,19,1,3.43449,2.22128,5.07202
