NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal, RealDistance, AmclDistance, RRTDistance
1,5764,1,5089,0.287,676,9,1,2.82351,0,3.12147
2,5817,2,5099,0.614,719,14,1,2.66363,3.27696,5.11053
3,3926,3,3403,0.857,524,15,0,2.82684,0.246004,5.85957
4,5657,4,4899,1.261,759,13,0,2.20649,3.10601,4.55449
5,4693,5,4102,1.506,592,10,1,1.79706,4.005,2.32029
6,6395,6,5605,1.914,791,11,1,3.38368,1.96365,3.94041
7,4994,7,4341,2.197,654,11,1,3.79864,4.17097,3.88694
8,4827,8,4205,2.459,623,24,1,2.34979,3.73957,10.0028
9,5661,9,4918,2.798,744,7,0,1.81849,1.63151,2.54932
10,3883,10,3332,3.051,552,9,1,1.61714,2.25221,2.13529
11,9086,11,7981,3.609,1106,15,1,3.58015,2.21692,4.99234
12,4692,12,4158,3.81,535,13,1,3.8223,4.71888,5.56954
13,4227,13,3666,4.072,562,12,0,2.48219,2.21607,3.87165
14,3952,14,3415,4.328,538,6,0,0.360726,5.2131,0.426915
15,5069,15,4412,4.73,658,16,1,2.46263,0.351583,5.82382
16,4041,16,3527,4.913,515,6,1,1.74223,4.97808,2.07558
17,4499,17,3939,5.17,561,24,1,3.4995,1.81795,10.2157
18,7559,18,6622,5.591,938,15,1,3.55925,8.99567,5.50584
19,5176,19,4510,5.845,667,8,1,2.5267,5.02277,2.8944
20,6395,20,5487,6.413,909,6,1,1.51706,2.62831,1.712
21,5427,21,4758,6.85,670,12,1,3.37799,1.88043,4.83723
22,8775,22,7710,7.355,1066,14,1,3.67895,4.67897,5.68335
23,5191,23,4545,7.646,647,11,0,2.87681,2.10934,3.95595
24,5140,24,4470,8.019,671,9,0,2.84252,0.286159,3.31274
25,6186,25,5365,8.475,822,17,1,2.61874,3.55519,6.25293
26,4368,26,3785,8.708,584,9,1,1.58219,6.10467,2.93136
27,4610,27,4063,8.961,548,13,1,3.5706,1.93158,5.07788
28,6025,28,5242,9.295,784,7,0,0.91806,5.67136,1.32625
29,5137,29,4543,9.634,595,11,1,3.8055,1.0936,4.23559
30,4119,30,3589,9.871,531,7,1,2.3739,3.90587,2.42882
31,4697,31,4123,10.141,575,5,1,1.48249,2.59956,1.35368
32,3910,32,3407,10.324,504,11,1,3.30156,1.62651,4.07
33,3648,33,3130,10.468,519,5,0,0.84527,3.01077,0.762643
34,7779,34,6822,10.918,958,16,1,3.83355,0.744116,6.24021
35,4934,35,4315,11.167,620,9,1,2.48992,5.58508,2.82279
36,4966,36,4240,11.463,727,9,1,1.80258,2.88824,2.40114
37,6999,37,6138,11.799,862,14,1,3.52597,2.0369,5.45951
38,6931,38,6133,12.185,799,14,1,3.83074,4.77391,5.73145
39,4498,39,3972,12.518,527,11,1,2.63135,5.67867,3.50651
40,4207,40,3691,12.758,517,8,1,1.86413,3.40731,2.26737
41,5804,41,5036,13.013,769,15,1,3.49325,2.04955,5.72787
42,4455,42,3935,13.265,521,7,0,1.68937,4.43892,1.70608
43,4273,43,3732,13.569,542,8,1,3.57296,1.85208,3.07679
44,6764,44,5867,14.061,898,9,1,2.56421,3.62113,3.14657
45,4694,45,4072,14.325,623,10,1,1.71834,3.23728,2.26917
46,4131,46,3592,14.598,540,12,1,3.3875,1.91301,5.2167
47,4508,47,3940,14.863,569,12,1,3.72266,4.71531,5.09447
48,5882,48,5200,15.199,683,15,1,2.75692,5.13002,5.56821
49,4362,49,3769,15.409,594,10,1,1.54673,5.21203,2.15143
50,7180,50,6310,15.902,871,10,1,2.72657,1.74572,3.58065
