NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
375,8310,375,7267,118.85,1044,12,0
376,3395,376,2891,119.029,505,5,0
377,3724,377,3179,119.252,546,10,1
378,4090,378,3590,119.438,501,5,0
379,4227,379,3699,119.684,529,18,1
380,4286,380,3712,119.897,575,6,0
381,5624,381,4894,120.201,731,15,1
382,3457,382,2946,120.405,512,6,0
383,5126,383,4431,120.661,696,24,1
384,6559,384,5826,120.915,734,11,0
385,3331,385,2816,121.141,516,6,0
386,4357,386,3738,121.449,620,10,1
387,3813,387,3290,121.673,524,5,0
388,5187,388,4507,121.93,681,35,1
389,7786,389,6906,122.459,881,30,0
390,8248,390,7302,122.96,947,19,0
391,5237,391,4564,123.295,674,19,0
392,4165,392,3661,123.435,505,6,0
393,5272,393,4631,123.737,642,18,1
394,4313,394,3749,124.029,565,8,0
395,3503,395,2993,124.275,511,13,1
396,3515,396,3015,124.447,501,7,0
397,3891,397,3312,124.688,580,18,1
398,3584,398,3054,124.94,531,12,0
399,4037,399,3521,125.093,517,2,0
400,4111,400,3554,125.283,558,20,1
401,5074,401,4491,125.546,584,10,0
402,6774,402,5885,125.932,890,31,1
403,5302,403,4705,126.191,598,22,0
404,4263,404,3652,126.476,612,8,0
405,3920,405,3419,126.744,502,7,0
406,4366,406,3794,126.99,573,15,1
407,3839,407,3300,127.189,540,10,0
408,3712,408,3184,127.347,529,10,0
409,5912,409,5072,127.683,841,10,1
410,5404,410,4728,128.011,677,27,1
411,4948,411,4301,128.314,648,11,0
412,4034,412,3533,128.491,502,2,0
413,6646,413,5861,128.799,786,24,1
414,5754,414,5068,129.212,687,13,0
415,3836,415,3332,129.452,505,2,0
416,3847,416,3317,129.651,531,16,1
417,3596,417,3082,129.875,515,3,0
418,3672,418,3118,130.061,555,14,1
419,3826,419,3326,130.265,501,4,0
420,7612,420,6658,130.739,955,18,1
421,4099,421,3595,130.937,505,13,0
422,3782,422,3282,131.172,501,3,0
423,5478,423,4797,131.553,682,21,1
424,4202,424,3686,131.776,517,12,0
425,4750,425,4099,132.093,652,11,0
426,3959,426,3447,132.315,513,3,0
427,7783,427,6788,132.798,996,20,1
428,3799,428,3262,133.02,538,6,0
429,3574,429,3069,133.208,506,12,1
430,4142,430,3642,133.423,501,4,0
431,5267,431,4619,133.76,649,18,1
432,4031,432,3496,133.984,536,6,0
433,6959,433,6097,134.459,863,26,1
434,3794,434,3208,134.684,587,11,0
435,10102,435,8832,135.365,1271,17,1
436,3401,436,2889,135.542,513,3,0
437,5985,437,5167,135.82,819,13,1
438,8988,438,7881,136.347,1108,26,1
439,8569,439,7582,136.878,988,9,0
440,3778,440,3255,137.114,524,4,0
441,7215,441,6308,137.59,908,34,1
442,4954,442,4348,137.896,607,21,0
443,4285,443,3772,138.136,514,15,0
444,3807,444,3281,138.487,527,7,0
445,5429,445,4678,138.81,752,11,1
446,3619,446,3107,139.07,513,7,0
447,3755,447,3227,139.27,529,16,1
448,3807,448,3302,139.443,506,4,0
449,4301,449,3776,139.677,526,20,1
450,4399,450,3828,139.92,572,9,0
451,8497,451,7416,140.53,1082,16,1
452,3767,452,3205,140.773,563,8,0
453,4197,453,3650,141.028,548,23,1
454,3950,454,3433,141.264,518,12,0
455,3233,455,2730,141.396,504,11,1
456,4115,456,3557,141.582,559,18,1
457,4707,457,4096,141.841,612,8,0
458,5383,458,4670,142.129,714,18,1
459,3585,459,3056,142.303,530,11,0
460,4280,460,3766,142.547,515,3,0
461,3945,461,3384,142.704,562,14,1
462,3912,462,3411,142.924,502,4,0
463,3974,463,3398,143.146,577,12,1
464,4553,464,4049,143.462,505,8,0
465,3939,465,3436,143.699,504,18,1
466,5062,466,4517,143.953,546,9,0
467,4469,467,3881,144.195,589,15,1
468,3397,468,2889,144.343,509,5,0
469,4207,469,3644,144.571,564,12,1
470,5042,470,4373,144.879,670,11,0
471,3639,471,3123,145.097,517,11,1
472,3820,472,3316,145.254,505,7,0
473,5109,473,4509,145.555,601,18,1
474,3512,474,3012,145.746,501,8,0
475,9908,475,8666,146.324,1243,22,1
476,4237,476,3681,146.571,557,18,0
477,3400,477,2872,146.774,529,7,0
478,5575,478,4811,147.174,765,12,1
479,3515,479,2993,147.425,523,5,0
480,3995,480,3418,147.646,578,9,1
481,5510,481,4779,147.966,732,19,1
482,3928,482,3399,148.185,530,17,0
483,4221,483,3666,148.438,556,7,0
484,4745,484,4170,148.666,576,15,1
485,4860,485,4183,148.89,678,5,0
486,3857,486,3302,149.162,556,28,1
487,4463,487,3864,149.374,600,11,0
488,4479,488,3878,149.663,602,12,0
489,3744,489,3197,149.88,548,13,1
490,3789,490,3288,150.113,502,1,0
491,7804,491,6829,150.541,976,19,1
492,4038,492,3527,150.763,512,7,0
493,4376,493,3801,150.931,576,24,1
494,5054,494,4436,151.184,619,11,0
495,5138,495,4413,151.518,726,11,1
496,3546,496,3045,151.705,502,10,1
497,3772,497,3250,151.912,523,5,0
498,5061,498,4402,152.138,660,20,1
499,4290,499,3726,152.402,565,10,0
500,4868,500,4259,152.622,610,24,1
501,6170,501,5416,152.95,755,13,0
502,6510,502,5672,153.364,839,16,1
503,4588,503,3932,153.597,657,7,0
504,3354,504,2845,153.823,510,11,1
505,3963,505,3458,154.006,506,5,0
