NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
77,4201,77,3659,21.932,543,17,1
78,3963,78,3400,22.191,564,10,0
79,5091,79,4442,22.47,650,17,1
80,3534,80,3019,22.715,516,9,0
81,3900,81,3370,22.923,531,23,1
82,4215,82,3695,23.139,521,12,0
83,3409,83,2892,23.304,518,12,1
84,4473,84,3915,23.587,559,17,1
85,4187,85,3639,23.812,549,7,0
86,4350,86,3773,24.039,578,5,0
87,10938,87,9657,24.739,1282,16,1
88,3245,88,2732,24.951,514,11,0
89,4320,89,3784,25.193,537,34,1
90,3945,90,3401,25.378,545,17,0
91,3833,91,3333,25.585,501,9,0
92,4512,92,3919,25.821,594,11,1
93,4889,93,4302,26.065,588,21,1
94,4634,94,4103,26.29,532,11,0
95,5872,95,5144,26.626,729,16,1
96,4898,96,4251,26.866,648,6,0
97,4323,97,3726,27.119,598,12,1
98,3507,98,3002,27.29,506,5,0
99,3811,99,3240,27.472,572,9,1
100,13554,100,11951,28.396,1604,22,1
101,4035,101,3522,28.617,514,9,0
102,9002,102,7856,29.179,1147,19,1
103,5800,103,5051,29.693,750,9,0
104,4635,104,4048,30.066,588,14,1
105,3528,105,3008,30.376,521,7,0
106,4748,106,4107,30.76,642,18,1
107,3716,107,3216,31.087,501,5,0
108,4612,108,3976,31.564,637,19,1
109,4767,109,4143,31.98,625,7,0
110,7934,110,6905,32.864,1030,28,1
111,4437,111,3899,33.066,539,19,0
112,4771,112,4229,33.32,543,5,0
113,5126,113,4432,33.598,695,21,1
114,5200,114,4518,33.84,683,31,0
115,4066,115,3542,34.064,525,13,0
116,3613,116,3099,34.26,515,5,0
117,3925,117,3386,34.491,540,10,1
118,5551,118,4846,34.799,706,18,1
119,4933,119,4270,35.077,664,7,0
120,8203,120,7145,35.642,1059,14,1
121,3708,121,3201,35.896,508,4,0
122,4123,122,3578,36.235,546,22,1
123,3571,123,3034,36.469,538,13,0
124,3441,124,2939,36.688,503,2,0
125,3880,125,3332,36.95,549,10,1
126,4442,126,3898,37.222,545,23,1
127,4886,127,4295,37.453,592,8,0
128,4982,128,4324,37.972,659,22,1
129,8711,129,7719,38.786,993,19,0
130,4012,130,3493,39.174,520,15,1
131,3591,131,3053,39.52,539,3,0
132,5193,132,4450,40.071,744,15,1
133,3867,133,3347,40.4,521,10,0
134,4709,134,4141,40.833,569,21,1
135,7422,135,6404,41.536,1019,8,0
136,5674,136,4980,41.863,695,21,1
137,4657,137,4055,42.343,603,14,0
138,6460,138,5664,42.908,797,6,0
139,4332,139,3807,43.301,526,16,1
140,3955,140,3436,43.537,520,8,0
141,3460,141,2960,43.787,501,4,0
142,4196,142,3577,44.142,620,10,1
143,3713,143,3206,44.478,508,4,0
144,4445,144,3899,44.931,547,22,1
145,5579,145,4892,45.464,688,16,0
146,4122,146,3579,45.842,544,3,0
147,6649,147,5821,46.714,829,18,1
148,4086,148,3495,47.14,592,11,0
149,6026,149,5221,47.816,806,14,1
150,4610,150,3978,48.356,633,5,0
151,3373,151,2849,48.674,525,13,1
152,3679,152,3179,48.999,501,3,0
153,4708,153,4124,49.421,585,19,1
154,4371,154,3835,49.809,537,10,0
155,5920,155,5142,50.315,779,21,1
156,4224,156,3634,50.723,591,11,0
157,3736,157,3225,50.981,512,6,0
158,5382,158,4701,51.577,682,18,1
159,4105,159,3603,52.045,503,6,0
160,4652,160,4057,52.353,596,24,1
161,3204,161,2701,52.672,504,10,0
162,10086,162,8873,53.758,1214,21,1
163,4386,163,3839,54.212,548,16,0
164,4331,164,3812,54.554,520,4,0
165,6437,165,5617,55.005,821,13,1
166,3697,166,3171,55.357,527,4,0
167,4628,167,3950,55.831,679,11,1
168,4765,168,4141,56.26,625,20,1
169,8933,169,7987,57.105,947,9,0
170,4100,170,3600,57.408,501,3,0
171,7667,171,6748,58.22,920,31,1
172,5733,172,5073,58.531,661,22,0
173,3941,173,3402,58.886,540,8,0
174,3786,174,3259,59.193,528,15,1
175,3173,175,2662,59.457,512,2,0
176,3576,176,3051,59.815,526,10,1
177,3783,177,3269,60.122,515,4,0
178,4458,178,3904,60.602,555,18,1
179,4025,179,3491,60.995,535,8,0
180,4839,180,4231,61.541,609,25,1
181,4050,181,3435,61.925,616,11,0
182,6266,182,5502,62.53,765,16,1
183,3922,183,3351,62.913,572,6,0
184,3440,184,2921,63.282,520,15,1
185,4702,185,4173,63.628,530,5,0
186,3997,186,3491,63.899,507,25,1
187,4480,187,3940,64.326,541,15,0
188,3966,188,3466,64.686,501,6,0
189,5070,189,4446,65.036,625,21,1
190,5335,190,4693,65.367,643,15,0
191,4721,191,4144,65.836,578,7,0
192,6124,192,5350,66.524,775,20,1
193,4431,193,3849,66.954,583,28,0
194,4207,194,3649,67.536,559,9,0
195,4464,195,3825,67.822,640,10,1
196,7094,196,6179,68.396,916,16,1
197,3422,197,2921,68.778,502,8,0
198,3999,198,3473,69.129,527,32,1
199,3897,199,3392,69.476,506,29,0
200,3674,200,3127,70.062,548,21,0
201,3730,201,3194,70.3,537,9,0
202,3805,202,3279,70.514,527,16,1
203,3642,203,3081,70.697,562,12,0
204,4042,204,3452,71.055,591,10,0
205,3708,205,3175,71.258,534,10,1
206,4935,206,4270,71.578,666,18,1
207,4185,207,3616,71.848,570,8,0
208,4547,208,3991,72.076,557,21,1
209,5386,209,4666,72.316,721,22,0
210,4095,210,3530,72.55,566,11,0
211,6090,211,5294,72.907,797,13,1
212,4230,212,3647,73.149,584,5,0
213,3654,213,3145,73.396,510,10,1
214,5315,214,4616,73.659,700,19,1
215,3597,215,3085,73.836,513,9,0
216,3927,216,3425,74.026,503,22,1
217,4591,217,4020,74.253,572,8,0
218,3778,218,3248,74.444,531,3,0
